STATE_CODE,STATE_CODE_EXP,SHRP_ID,CONSTRUCTION_NO,CN_ASSIGN_DATE,CN_CHANGE_REASON,CN_CHANGE_REASON_EXP,RECORD_STATUS,GPS_SPS,GPS_SPS_EXP,EXPERIMENT_NO,EXPERIMENT_NO_EXP,STATUS_EXP,STATUS,ASSIGN_DATE,DEASSIGN_DATE,SEAS_ID,SUPPLEMENTAL,EXP_SECT_RS,BASIC_INFO_RS,PAV_STRUCT_RS,TRAFFIC_RS,CLIMATIC_RS,PAVEMENT_FAMILY,PAVEMENT_FAMILY_EXP
17,Illinois,5217,3,2000-09-05,25,"Patch Pot Holes - Hand Spread, Compacted with Truck",E,G,General Pavement Studies,7B,"AC Overlay with Conventional Asphalt Cement on PCC Pavement, with CPR or No Pretreatment",Out-of-study,O,1992-06-03,2002-05-20,,,E,E,E,E,E,ACPCC,
17,Illinois,5217,4,2001-09-18,25,"Patch Pot Holes - Hand Spread, Compacted with Truck",E,G,General Pavement Studies,7B,"AC Overlay with Conventional Asphalt Cement on PCC Pavement, with CPR or No Pretreatment",Out-of-study,O,1992-06-03,2002-05-20,,,E,E,E,E,E,ACPCC,
17,Illinois,5843,3,1998-11-11,5,Full Depth Patching of PCC Pavement Other Than at Joint,E,G,General Pavement Studies,5,Continuously Reinforced Concrete Pavement (CRCP),Out-of-study,O,1987-01-01,2002-10-30,,,E,E,E,E,E,CRCP,
17,Illinois,5843,4,2000-10-17,6,Partial Depth Patching of PCC Pavement Other Than at Joint,E,G,General Pavement Studies,5,Continuously Reinforced Concrete Pavement (CRCP),Out-of-study,O,1987-01-01,2002-10-30,,,E,E,E,E,E,CRCP,
38,North Dakota,0216,3,1999-08-31,54,Partial depth patching of PCC pavements at joints,E,S,Specific Pavement Studies,2,"Strategic Study of Structural Factors for Rigid Pavements, new/reconstructed JPCC pavements",,,1994-01-01,,,,E,E,E,E,E,JPCUB,
38,North Dakota,0217,3,1998-06-20,"1,54","Crack Sealing, Partial depth patching of PCC pavements at joints",E,S,Specific Pavement Studies,2,"Strategic Study of Structural Factors for Rigid Pavements, new/reconstructed JPCC pavements",,,1994-01-01,,,,E,E,E,E,E,JPCTB,
38,North Dakota,0217,4,1999-08-31,54,Partial depth patching of PCC pavements at joints,E,S,Specific Pavement Studies,2,"Strategic Study of Structural Factors for Rigid Pavements, new/reconstructed JPCC pavements",,,1994-01-01,,,,E,E,E,E,E,JPCTB,
29,Missouri,0901,3,1996-07-25,"10,19","AC Shoulder Restoration, Asphalt Concrete Overlay",E,S,Specific Pavement Studies,9J,"Superpave Asphalt Binder Study, AC Overlay on JCP)",Out-of-study,O,1996-01-01,2008-04-01,,,E,E,E,E,E,ACPCC,
29,Missouri,0902,3,1996-08-20,"10,19","AC Shoulder Restoration, Asphalt Concrete Overlay",E,S,Specific Pavement Studies,9J,"Superpave Asphalt Binder Study, AC Overlay on JCP)",Out-of-study,O,1996-01-01,2008-04-01,,,E,E,E,E,E,ACPCC,
29,Missouri,0903,3,1996-08-20,"10,19","AC Shoulder Restoration, Asphalt Concrete Overlay",E,S,Specific Pavement Studies,9J,"Superpave Asphalt Binder Study, AC Overlay on JCP)",Out-of-study,O,1996-01-01,2008-04-01,,,E,E,E,E,E,ACPCC,
