,SHRP_ID,STATE_CODE,VISIT_DATE,IRI_LEFT_WHEEL_PATH,IRI_RIGHT_WHEEL_PATH,AADT_ALL_VEHIC,MEPDG_TRANS_CRACK_LENGTH_AC,Mean_IRI,IRI_condition,year,initial_IRI,AADT,crack,construction_time
89,0101,32,2002-06-10,0.725699997,0.8786999942,-1.0,14.015384615384615,0.8021999956,2.0,2002,1.1915000081,,14.015384615384615,20
90,0101,32,2002-07-31,0.7098000052,0.8802000044,-1.0,14.015384615384615,0.7950000048,2.0,2002,1.1915000081,,14.015384615384615,20
91,0101,32,2002-12-10,0.6995999932,0.8824000002,-1.0,14.015384615384615,0.7909999967,2.0,2002,1.1915000081,,14.015384615384615,20
26,0101,1,2003-01-29,0.7184000135999999,0.7448000076,-1.0,23.5,0.7316000106,2.0,2003,1.1915000081,,23.5,19
39,0101,10,2003-08-21,0.9596000076,0.9569999934,-1.0,-1.0,0.9583000005,2.0,2003,1.1915000081,,,19
47,0101,12,2003-07-25,0.8860000134,0.8692000031999999,-1.0,27.110000000000003,0.8776000083,2.0,2003,1.1915000081,,27.110000000000003,19
92,0101,32,2003-01-13,0.6889999986,0.8784000038,-1.0,14.015384615384615,0.7837000012,2.0,2003,1.1915000081,,14.015384615384615,19
93,0101,32,2003-03-16,0.6924000142,0.8686000108,-1.0,14.015384615384615,0.7805000125,2.0,2003,1.1915000081,,14.015384615384615,19
94,0101,32,2003-10-13,0.7123999952,0.8966000080000001,-1.0,14.015384615384615,0.8045000016,2.0,2003,1.1915000081,,14.015384615384615,19
102,0101,35,2003-01-09,1.160800004,1.0018000004,-1.0,2.2777777777777777,1.0813000021999999,2.0,2003,1.1915000081,,2.2777777777777777,19
27,0101,1,2004-04-27,0.7467999934,0.8041999935999999,-1.0,23.5,0.7754999935,2.0,2004,1.1915000081,,23.5,18
40,0101,10,2004-11-08,0.930000007,0.9906000138,-1.0,-1.0,0.9603000103999999,2.0,2004,1.1915000081,,,18
48,0101,12,2004-04-05,0.752999985,0.9797999858,-1.0,27.110000000000003,0.8663999854,2.0,2004,1.1915000081,,27.110000000000003,18
65,0101,19,2004-09-22,1.8667999742,2.4883999822,-1.0,87.41428571428571,2.1775999782,1.0,2004,1.1915000081,,87.41428571428571,18
95,0101,32,2004-03-03,0.6997999908,0.8883999941999999,-1.0,14.015384615384615,0.7940999925,2.0,2004,1.1915000081,,14.015384615384615,18
96,0101,32,2004-08-04,0.7286000014,0.8966000082000001,-1.0,14.015384615384615,0.8126000048,2.0,2004,1.1915000081,,14.015384615384615,18
103,0101,35,2004-06-09,1.2492000102,1.0583999872,-1.0,2.2777777777777777,1.1537999987,2.0,2004,1.1915000081,,2.2777777777777777,18
28,0101,1,2005-05-04,0.7636000154,0.807800007,-1.0,23.5,0.7857000112,2.0,2005,1.1915000081,,23.5,17
41,0101,10,2005-08-17,1.0816000222,1.0646000148,-1.0,-1.0,1.0731000185,2.0,2005,1.1915000081,,,17
49,0101,12,2005-04-26,0.7853999974,0.9278000116,-1.0,27.110000000000003,0.8566000045,2.0,2005,1.1915000081,,27.110000000000003,17
104,0101,35,2005-03-11,1.5570000172,1.3424000264,-1.0,2.2777777777777777,1.4497000218,2.0,2005,1.1915000081,,2.2777777777777777,17
42,0101,10,2006-06-13,1.2000000002,1.0895999906,-1.0,-1.0,1.1447999954,2.0,2006,1.1915000081,,,16
50,0101,12,2006-07-26,0.8129999875999999,1.0684000016,-1.0,27.110000000000003,0.9406999945999999,2.0,2006,1.1915000081,,27.110000000000003,16
97,0101,32,2006-08-27,0.7240000008,0.8827999952000001,-1.0,14.015384615384615,0.8033999980000001,2.0,2006,1.1915000081,,14.015384615384615,16
105,0101,35,2006-04-24,1.7570000172,1.4420000074,-1.0,2.2777777777777777,1.5995000123,1.0,2006,1.1915000081,,2.2777777777777777,16
51,0101,12,2008-09-03,0.8482000112,1.0764000178,-1.0,27.110000000000003,0.9623000145,2.0,2008,1.1915000081,,27.110000000000003,14
52,0101,12,2009-05-08,0.9074000002,1.1149999856,-1.0,27.110000000000003,1.0111999929,2.0,2009,1.1915000081,,27.110000000000003,13
98,0101,32,2009-06-24,0.938200009,0.9722000004,-1.0,14.015384615384615,0.9552000047,2.0,2009,1.1915000081,,14.015384615384615,13
53,0101,12,2010-02-06,0.9666000128,1.1845999958,-1.0,27.110000000000003,1.0756000043,2.0,2010,1.1915000081,,27.110000000000003,12
54,0101,12,2012-02-24,0.9967999938,1.1345999956,-1.0,27.110000000000003,1.0656999946999999,2.0,2012,1.1915000081,,27.110000000000003,10
