SHRP_ID,STATE_CODE,IMP_DATE,IMP_TYPE
0504,4,05/24/1990,51
0504,4,05/28/1998,34
0504,4,05/01/2002,1
0504,4,04/16/2003,34
0505,4,05/24/1990,51
0505,4,05/28/1998,34
0505,4,08/23/2001,34
0505,4,05/01/2002,1
0505,4,04/16/2003,34
0506,4,05/16/1990,51
0506,4,05/24/1990,19
0506,4,05/28/1998,34
0506,4,08/23/2001,34
0506,4,05/01/2002,1
0506,4,04/16/2003,34
0506,4,08/01/2007,25
0507,4,05/16/1990,51
0507,4,05/24/1990,19
0507,4,05/28/1998,34
0507,4,04/16/2003,34
0508,4,04/25/1990,55
0508,4,05/08/1990,43
0508,4,05/28/1998,34
0508,4,05/01/2002,1
0508,4,04/16/2003,34
0509,4,05/02/1990,55
0509,4,05/08/1990,43
0509,4,05/28/1998,34
0509,4,08/23/2001,34
0509,4,05/01/2002,1
0509,4,04/16/2003,34
0559,4,05/16/1990,51
0559,4,05/31/1990,43
0559,4,05/28/1998,34
0559,4,08/23/2001,34
0559,4,05/01/2002,1
0559,4,04/16/2003,34
0560,4,06/13/1990,51
0560,4,05/28/1998,34
0560,4,08/23/2001,34
0560,4,05/01/2002,1
0560,4,04/16/2003,34
0601,4,11/15/1991,54
0602,4,07/12/1990,6
0602,4,07/13/1990,6
0602,4,07/24/1990,1
0602,4,07/24/1990,11
0602,4,07/24/1990,2
0602,4,07/24/1990,3
0603,4,07/26/1990,6
0603,4,08/12/1990,19
0603,4,03/08/1995,1
0603,4,10/01/1999,25
0603,4,09/11/2001,26
0604,4,07/25/1990,13
0604,4,07/26/1990,2
0604,4,07/26/1990,6
0604,4,08/17/1990,57
0604,4,10/06/1990,19
0604,4,03/08/1995,1
0605,4,06/26/1990,38
0605,4,07/19/1990,6
0605,4,07/25/1990,1
0605,4,07/25/1990,2
0605,4,07/25/1990,3
0605,4,07/25/1990,4
0605,4,07/25/1990,50
0605,4,07/25/1990,7
0605,4,08/20/1990,12
0605,4,07/01/1991,54
0606,4,06/26/1990,38
0606,4,06/27/1990,4
0606,4,06/27/1990,6
0606,4,06/27/1990,7
0606,4,10/06/1990,11
0606,4,10/06/1990,19
0606,4,03/07/1995,1
0607,4,06/25/1990,38
0607,4,08/04/1990,46
0607,4,10/06/1990,19
0607,4,03/07/1995,1
0607,4,05/01/2000,25
0608,4,06/25/1990,38
0608,4,08/04/1990,46
0608,4,10/06/1990,19
0608,4,03/07/1995,1
0608,4,05/01/2000,25
0659,4,06/26/1990,38
0659,4,08/06/1990,46
0659,4,10/06/1990,19
